timme	koll	dag	månad	år	veckodag	antal	temperatur	nederbörd	vind
11	1	31	05	2012	4	60	13.20	0.00	4.00
12	1	31	05	2012	4	83	14.20	0.00	4.30
13	1	31	05	2012	4	87	14.50	0.00	5.50
14	1	31	05	2012	4	80	13.70	0.00	4.60
15	1	31	05	2012	4	99	14.30	0.00	4.90
16	1	31	05	2012	4	129	13.70	0.00	4.40
17	1	31	05	2012	4	137	12.70	0.00	4.90
18	1	31	05	2012	4	81	12.00	0.00	4.30
19	1	31	05	2012	4	57	11.50	0.00	4.00
20	1	31	05	2012	4	45	10.50	0.00	3.60
21	1	31	05	2012	4	33	9.10	0.00	3.00
22	1	31	05	2012	4	18	8.10	0.00	3.10
23	1	31	05	2012	4	14	7.20	0.00	2.60
00	-23	01	06	2012	5	6	6.50	0.00	2.20
01	1	01	06	2012	5	5	6.00	0.00	1.80
02	1	01	06	2012	5	4	5.70	0.00	1.90
03	1	01	06	2012	5	2	5.90	0.00	1.60
04	1	01	06	2012	5	0	6.10	0.00	1.40
05	1	01	06	2012	5	1	7.90	0.00	2.30
06	1	01	06	2012	5	0	8.00	0.00	2.30
07	1	01	06	2012	5	0	8.10	0.00	2.60
08	1	01	06	2012	5	30	8.70	0.00	2.50
09	1	01	06	2012	5	56	10.30	0.00	2.10
10	1	01	06	2012	5	52	10.40	0.00	3.40
11	1	01	06	2012	5	61	9.70	0.00	4.10
12	1	01	06	2012	5	107	10.10	0.00	2.80
13	1	01	06	2012	5	80	12.80	0.00	1.20
14	1	01	06	2012	5	49	11.70	0.00	3.30
15	1	01	06	2012	5	75	8.00	0.20	4.60
16	1	01	06	2012	5	100	8.10	0.40	4.40
17	1	01	06	2012	5	75	7.60	1.90	5.90
18	1	01	06	2012	5	34	7.30	1.20	5.00
19	1	01	06	2012	5	31	7.20	0.10	3.70
20	1	01	06	2012	5	21	6.90	0.10	4.10
21	1	01	06	2012	5	28	6.80	0.00	5.50
22	1	01	06	2012	5	9	6.50	0.00	5.30
23	1	01	06	2012	5	10	6.40	0.00	4.90
00	-23	02	06	2012	6	7	6.30	0.00	4.70
02	2	02	06	2012	6	4	6.30	0.00	4.80
03	1	02	06	2012	6	5	5.90	0.00	4.60
04	1	02	06	2012	6	1	5.70	0.00	3.90
05	1	02	06	2012	6	6	4.60	0.00	3.70
06	1	02	06	2012	6	11	5.70	0.00	3.60
07	1	02	06	2012	6	9	7.10	0.00	3.80
08	1	02	06	2012	6	17	8.70	0.00	4.30
09	1	02	06	2012	6	41	9.10	0.00	5.40
10	1	02	06	2012	6	46	10.30	0.00	5.60
11	1	02	06	2012	6	62	11.10	0.00	6.30
12	1	02	06	2012	6	68	12.40	0.00	6.50
13	1	02	06	2012	6	70	12.80	0.00	7.00
